name,unit,origin,plausibility limits,aliases,channel
Date,date,file,,"Real time",
Time,time,file,,"Unnamed: 1",
Elapsed time,s,file,"0,-","Time",
Stack Voltage,V,file,"0,-","Stack Voltage, CH0101",CH0101
Current,A,file,"0,-","Current, CH0108",CH0108
CO:H2 ratio in cathode product gas,-,file,"0,-","CO:H2 ratio in cathode product gas, CHA014",CHA014
Faradaic Efficiency of O2,%,file,"0,100","Faradaic Efficiency of O2, CHA074",CHA074
Anode inlet,°C,file,"0,-","Anode inlet, CH0005",CH0005
Anode outlet,°C,file,"0,-","Anode outlet, CH0008",CH0008
CO2:O2 ratio in anode product gas,%,file,"0,-","CO2:O2 ratio in anode product gas, CH0006",CH0006
Gas inlet pressure,bar,file,"0,-","Gas inlet pressure, CH0109",CH0109
Gas outlet pressure,bar,file,"0,-","Gas outlet pressure, CH0110",CH0110
Anolyte inlet pressure,bar,file,"0,-","Anolit inlet pressure, CH0601",CH0601
Anolyte outlet pressure,bar,file,"0,-","Anolit outlet pressure, CH0602",CH0602
Δp Gas inlet - Gas outlet,bar,file,,"ΔpGas inlet - Gas outlet, CHA038",CHA038
Cell Voltage - 1,V,file,"0,-","Cell Voltage - 1, CH0606",CH0606
Cell Voltage - 2,V,file,"0,-","Cell Voltage - 2, CH0607",CH0607
Cell Voltage - 3,V,file,"0,-","Cell Voltage - 3, CH0608",CH0608
Cell Voltage - 4,V,file,"0,-","Cell Voltage - 4, CH0401",CH0401
Cell Voltage - 5,V,file,"0,-","Cell Voltage - 5, CH0402",CH0402
Cathode inlet CO2 gas flow,nlpm,file,"0,-","Cathode inlet CO2 gas flow, CHC001",CHC001
Faradaic Efficiency of CO,%,file,"0,100","Faradaic Efficiency of CO , CHA045",CHA045
Faradaic Efficiency of H2,%,file,"0,100","Faradaic Efficiency of H2, CHA046",CHA046
Cathode inlet humidification,%,file,"0,100",Cathode inlet humidification_CALCULATED,
Test time,h,calculation,"0,-",,
Energy Efficiency,%,calculation,"0,100",,
Δp Anolyte,bar,calculation,"0,-",,
Current density,mA/cm2,calculation,"0,-",,
Single Pass Conversion Efficiency,%,calculation,"0,100",,
