name,unit,origin,plausibility limits,aliases,channel,role,type
Date,date,file,,Real time,,,
Time,time,file,,Unnamed: 1,,,
Elapsed time,s,file,"0,-",Time,,,
Stack Voltage,V,file,"0,-","Stack Voltage, CH0101",CH0101,response,calculated
Current,A,file,"0,-","Current, CH0108",CH0108,predictor,measured
CO:H2 ratio in cathode product gas,-,file,"0,-","CO:H2 ratio in cathode product gas, CHA014",CHA014,response,calculated
Faradaic Efficiency of O2,%,file,"0,100","Faradaic Efficiency of O2, CHA074",CHA074,response,calculated
Anode inlet,°C,file,"0,-","Anode inlet, CH0005",CH0005,predictor,measured
Anode outlet,°C,file,"0,-","Anode outlet, CH0008",CH0008,response,measured
CO2:O2 ratio in anode product gas,%,file,"0,-","CO2:O2 ratio in anode product gas, CH0006",CH0006,response,measured
Gas inlet pressure,bar,file,"0,-","Gas inlet pressure, CH0109",CH0109,response,measured
Gas outlet pressure,bar,file,"0,-","Gas outlet pressure, CH0110",CH0110,predictor,measured
Anolyte inlet pressure,bar,file,"0,-","Anolit inlet pressure, CH0601",CH0601,predictor,measured
Anolyte outlet pressure,bar,file,"0,-","Anolit outlet pressure, CH0602",CH0602,response,measured
Δp Gas inlet - Gas outlet,bar,file,,"ΔpGas inlet - Gas outlet, CHA038",CHA038,response,calculated
Cell Voltage - 1,V,file,"0,-","Cell Voltage - 1, CH0606",CH0606,response,measured
Cell Voltage - 2,V,file,"0,-","Cell Voltage - 2, CH0607",CH0607,response,measured
Cell Voltage - 3,V,file,"0,-","Cell Voltage - 3, CH0608",CH0608,response,measured
Cell Voltage - 4,V,file,"0,-","Cell Voltage - 4, CH0401",CH0401,response,measured
Cell Voltage - 5,V,file,"0,-","Cell Voltage - 5, CH0402",CH0402,response,measured
Cathode inlet CO2 gas flow,nlpm,file,"0,-","Cathode inlet CO2 gas flow, CHC001",CHC001,predictor,measured
Faradaic Efficiency of CO,%,file,"0,100","Faradaic Efficiency of CO , CHA045",CHA045,response,calculated
Faradaic Efficiency of H2,%,file,"0,100","Faradaic Efficiency of H2, CHA046",CHA046,response,calculated
Cathode inlet humidification,%,file,"0,100",Cathode inlet humidification_CALCULATED,,predictor,measured
Test time,h,calculation,"0,-",,,,
Energy Efficiency,%,calculation,"0,100",,,response,calculated
Δp Anolyte,bar,calculation,"0,-",,,predictor,calculated
Current density,mA/cm2,calculation,"0,-",,,predictor,calculated
Single Pass Conversion Efficiency,%,calculation,"0,100",,,response,calculated
Faradaic Efficiency of CO and H2,%,calculation,"0,100",FE_CO_H2,,response,calculated
